Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
1-Dec-14,Monday,Present,8:39,18:34,9.92,9.92,NA,No leave debit
2-Dec-14,Tuesday,Present,8:55,18:28,9.55,9.55,NA,No leave debit
3-Dec-14,Wednesday,Present,10:08,19:19,9.18,9.18,NA,No leave debit
4-Dec-14,Thursday,Present,9:54,19:05,9.18,9.18,NA,No leave debit
5-Dec-14,Friday,Present,10:19,18:50,8.52,8.52,NA,No leave debit
6-Dec-14,Saturday,Weekly Off,--,--,--,0,NA,NA
7-Dec-14,Sunday,Weekly Off,10:25,12:35,2.17,2.17,NA,NA
8-Dec-14,Monday,Present,9:36,18:25,8.82,8.82,NA,No leave debit
9-Dec-14,Tuesday,Present,10:27,19:31,9.07,9.07,NA,No leave debit
10-Dec-14,Wednesday,Present,10:15,20:03,9.8,9.8,NA,No leave debit
11-Dec-14,Thursday,Present,10:18,21:04,10.77,10.77,NA,No leave debit
12-Dec-14,Friday,Present,10:07,18:28,8.35,8.35,NA,No leave debit
13-Dec-14,Saturday,Weekly Off,--,--,--,0,NA,NA
14-Dec-14,Sunday,Weekly Off,11:17,12:19,1.03,1.03,NA,NA
15-Dec-14,Monday,Present,10:35,19:29,8.9,8.9,NA,No leave debit
16-Dec-14,Tuesday,Present,10:18,18:46,8.47,8.47,NA,No leave debit
17-Dec-14,Wednesday,Present,10:00,18:12,8.2,8.2,NA,No leave debit
18-Dec-14,Thursday,Present,10:20,18:30,8.17,8.17,NA,No leave debit
19-Dec-14,Friday,Present,10:14,18:49,8.58,8.58,NA,No leave debit
20-Dec-14,Saturday,Weekly Off,--,--,--,0,NA,NA
21-Dec-14,Sunday,Weekly Off,--,--,--,0,NA,NA
22-Dec-14,Monday,Present,9:28,18:30,9.03,9.03,NA,No leave debit
23-Dec-14,Tuesday,Present,10:03,19:33,9.5,9.5,NA,No leave debit
24-Dec-14,Wednesday,Present,10:19,19:09,8.83,8.83,NA,No leave debit
25-Dec-14,Thursday,Holiday,--,--,--,0,8:48,NA
26-Dec-14,Friday,Present,8:41,12:27,3.77,3.77,8:48,No leave debit
27-Dec-14,Saturday,Weekly Off,--,--,--,0,NA,NA
28-Dec-14,Sunday,Weekly Off,--,--,--,0,NA,NA
29-Dec-14,Monday,Earned Leave,--,--,--,0,NA,NA
30-Dec-14,Tuesday,Earned Leave,--,--,--,0,NA,NA
31-Dec-14,Wednesday,Earned Leave,--,--,--,0,8:48,NA
1-Jan-15,Thursday,Earned Leave,--,--,--,0,NA,NA
2-Jan-15,Friday,Earned Leave,--,--,--,0,NA,NA
3-Jan-15,Saturday,Weekly Off,--,--,--,0,NA,NA
4-Jan-15,Sunday,Weekly Off,--,--,--,0,NA,NA
5-Jan-15,Monday,Present,13:45,18:28,4.72,4.72,4:04,No leave debit
6-Jan-15,Tuesday,Present,9:14,20:47,11.55,11.55,8:48,No leave debit
7-Jan-15,Wednesday,Present,10:13,19:18,9.08,9.08,8:48,No leave debit
8-Jan-15,Thursday,Present,9:26,19:23,9.95,9.95,NA,No leave debit
9-Jan-15,Friday,Present,10:47,19:28,8.68,8.68,8:48,No leave debit
10-Jan-15,Saturday,Weekly Off,11:33,12:28,0.92,0.92,NA,NA
11-Jan-15,Sunday,Weekly Off,--,--,--,0,NA,NA
12-Jan-15,Monday,Present,9:40,19:17,9.62,9.62,8:48,No leave debit
13-Jan-15,Tuesday,Present,9:48,18:39,8.85,8.85,8:48,No leave debit
14-Jan-15,Wednesday,Holiday,--,--,--,0,8:48,NA
15-Jan-15,Thursday,Present,9:02,19:19,10.28,10.28,8:48,No leave debit
16-Jan-15,Friday,Present,9:11,19:29,10.3,10.3,8:48,No leave debit
17-Jan-15,Saturday,Weekly Off,--,--,--,0,NA,NA
18-Jan-15,Sunday,Weekly Off,8:55,9:51,0.93,0.93,NA,NA
19-Jan-15,Monday,Present,9:18,18:45,9.45,9.45,8:48,No leave debit
20-Jan-15,Tuesday,Present,9:43,19:17,9.57,9.57,8:48,No leave debit
21-Jan-15,Wednesday,Present,9:25,18:32,9.12,9.12,8:48,No leave debit
22-Jan-15,Thursday,Present,9:04,18:48,9.73,9.73,8:48,No leave debit
23-Jan-15,Friday,Present,9:41,18:02,8.35,8.35,8:48,No leave debit
24-Jan-15,Saturday,Weekly Off,--,--,--,0,NA,NA
25-Jan-15,Sunday,Weekly Off,--,--,--,0,NA,NA
26-Jan-15,Monday,Holiday,--,--,--,0,17:36,NA
27-Jan-15,Tuesday,Present,9:28,18:31,9.05,9.05,8:48,No leave debit
28-Jan-15,Wednesday,Present,8:52,18:42,9.83,9.83,8:48,No leave debit
29-Jan-15,Thursday,Present,9:48,18:42,8.9,8.9,8:48,No leave debit
30-Jan-15,Friday,Present,9:36,18:48,9.2,9.2,8:48,No leave debit
31-Jan-15,Saturday,Weekly Off,9:09,10:03,0.9,0.9,NA,NA
1-Feb-15,Sunday,Weekly Off,--,--,--,0,NA,NA
2-Feb-15,Monday,Present,9:38,18:57,9.32,9.32,8:48,No leave debit
3-Feb-15,Tuesday,Present,9:30,18:04,8.57,8.57,8:48,No leave debit
4-Feb-15,Wednesday,Earned Leave,--,--,--,0,8:48,NA
5-Feb-15,Thursday,Earned Leave,--,--,--,0,8:48,NA
6-Feb-15,Friday,Present,9:05,19:15,10.17,10.17,8:48,No leave debit
7-Feb-15,Saturday,Weekly Off,--,--,--,0,NA,NA
8-Feb-15,Sunday,Weekly Off,--,--,--,0,NA,NA
9-Feb-15,Monday,Present,9:50,19:28,9.63,9.63,8:48,No leave debit
10-Feb-15,Tuesday,Present,9:50,18:38,8.8,8.8,8:48,No leave debit
11-Feb-15,Wednesday,Present,9:55,18:54,8.98,8.98,8:48,No leave debit
12-Feb-15,Thursday,Present,10:01,19:07,9.1,9.1,8:48,No leave debit
13-Feb-15,Friday,Present,9:48,19:46,9.97,9.97,8:48,No leave debit
14-Feb-15,Saturday,Weekly Off,10:11,11:22,1.18,1.18,NA,NA
15-Feb-15,Sunday,Weekly Off,9:02,9:58,0.93,0.93,NA,NA
16-Feb-15,Monday,Present,9:28,19:07,9.65,9.65,8:48,No leave debit
17-Feb-15,Tuesday,Present,9:50,19:11,9.35,9.35,8:48,No leave debit
18-Feb-15,Wednesday,Present,9:15,19:24,10.15,10.15,8:48,No leave debit
19-Feb-15,Thursday,Present,10:05,18:50,8.75,8.75,8:48,No leave debit
20-Feb-15,Friday,Present,8:57,19:02,10.08,10.08,8:48,No leave debit
21-Feb-15,Saturday,Weekly Off,--,--,--,0,NA,NA
22-Feb-15,Sunday,Weekly Off,--,--,--,0,NA,NA
23-Feb-15,Monday,Present,9:52,18:26,8.57,8.57,8:48,No leave debit
24-Feb-15,Tuesday,Present,10:01,19:41,9.67,9.67,8:48,No leave debit
25-Feb-15,Wednesday,Present,9:29,20:00,10.52,10.52,8:48,No leave debit
26-Feb-15,Thursday,Present,9:56,18:26,8.5,8.5,8:48,No leave debit
27-Feb-15,Friday,Present,10:12,18:27,8.25,8.25,8:48,No leave debit
28-Feb-15,Saturday,Weekly Off,--,--,--,0,NA,NA
1-Mar-15,Sunday,Weekly Off,10:17,12:29,2.2,2.2,NA,NA
2-Mar-15,Monday,Present,9:16,19:55,10.65,10.65,8:48,No leave debit
3-Mar-15,Tuesday,Present,9:42,19:51,10.15,10.15,8:48,No leave debit
4-Mar-15,Wednesday,Present,8:56,20:04,11.13,11.13,8:48,No leave debit
5-Mar-15,Thursday,Present,9:00,18:28,9.47,9.47,8:48,No leave debit
6-Mar-15,Friday,Present,9:40,19:03,9.38,9.38,8:48,No leave debit
7-Mar-15,Saturday,Weekly Off,9:12,13:30,4.3,4.3,NA,NA
8-Mar-15,Sunday,Weekly Off,--,--,--,0,NA,NA
9-Mar-15,Monday,Present,9:46,19:38,9.87,9.87,8:48,No leave debit
10-Mar-15,Tuesday,Present,8:46,18:19,9.55,9.55,8:48,No leave debit
11-Mar-15,Wednesday,Present,9:03,19:21,10.3,10.3,8:48,No leave debit
12-Mar-15,Thursday,Present,9:42,19:47,10.08,10.08,8:48,No leave debit
13-Mar-15,Friday,Present,9:27,17:54,8.45,8.45,8:48,No leave debit
14-Mar-15,Saturday,Weekly Off,--,--,--,0,NA,NA
15-Mar-15,Sunday,Weekly Off,--,--,--,0,NA,NA
16-Mar-15,Monday,Present,9:34,19:12,9.63,9.63,8:48,No leave debit
17-Mar-15,Tuesday,Present,9:37,19:21,9.73,9.73,8:48,No leave debit
18-Mar-15,Wednesday,Present,10:08,18:40,8.53,8.53,8:48,No leave debit
19-Mar-15,Thursday,Present,9:18,18:29,9.18,9.18,8:48,No leave debit
20-Mar-15,Friday,Present,9:34,19:24,9.83,9.83,8:48,No leave debit
21-Mar-15,Saturday,Weekly Off,--,--,--,0,NA,NA
22-Mar-15,Sunday,Weekly Off,--,--,--,0,NA,NA
23-Mar-15,Monday,Present,9:52,19:40,9.8,9.8,8:48,No leave debit
24-Mar-15,Tuesday,Earned Leave,--,--,--,0,8:48,NA
25-Mar-15,Wednesday,Present,9:20,18:32,9.2,9.2,8:48,No leave debit
26-Mar-15,Thursday,Present,9:41,19:21,9.67,9.67,8:48,No leave debit
27-Mar-15,Friday,Present,10:03,18:22,8.32,8.32,8:48,No leave debit
28-Mar-15,Saturday,Weekly Off,8:32,11:14,2.7,2.7,NA,NA
29-Mar-15,Sunday,Weekly Off,--,--,--,0,NA,NA
30-Mar-15,Monday,Present,9:20,17:54,8.57,8.57,8:48,No leave debit
31-Mar-15,Tuesday,Present,10:00,18:40,8.67,8.67,8:48,No leave debit
1-Apr-15,Wednesday,Earned Leave,--,--,--,0,8:48,NA
2-Apr-15,Thursday,Present,9:11,17:11,8,8,8:00,No leave debit
3-Apr-15,Friday,Present,9:58,18:26,8.47,8.47,8:48,No leave debit
4-Apr-15,Saturday,Weekly Off,--,--,--,0,NA,NA
5-Apr-15,Sunday,Weekly Off,--,--,--,0,NA,NA
6-Apr-15,Monday,Earned Leave,--,--,--,0,8:48,NA
7-Apr-15,Tuesday,Present,9:13,19:04,9.85,9.85,8:48,No leave debit
8-Apr-15,Wednesday,Present,9:30,18:42,9.2,9.2,8:48,No leave debit
9-Apr-15,Thursday,Present,9:41,19:56,10.25,10.25,8:48,No leave debit
10-Apr-15,Friday,Present,10:09,19:13,9.07,9.07,8:48,No leave debit
11-Apr-15,Saturday,Weekly Off,7:47,8:53,1.1,1.1,NA,NA
12-Apr-15,Sunday,Weekly Off,--,--,--,0,NA,NA
13-Apr-15,Monday,Present,9:58,20:00,10.03,10.03,8:48,No leave debit
14-Apr-15,Tuesday,Present,10:22,18:29,8.12,8.12,8:48,No leave debit
15-Apr-15,Wednesday,Present,9:32,19:51,10.32,10.32,8:48,No leave debit
16-Apr-15,Thursday,Present,9:11,19:46,10.58,10.58,8:48,No leave debit
17-Apr-15,Friday,Present,9:02,19:41,10.65,10.65,8:48,No leave debit
18-Apr-15,Saturday,Weekly Off,--,--,--,0,NA,NA
19-Apr-15,Sunday,Weekly Off,--,--,--,0,NA,NA
20-Apr-15,Monday,Present,9:02,19:25,10.38,10.38,8:48,No leave debit
21-Apr-15,Tuesday,Present,8:53,17:55,9.03,9.03,8:48,No leave debit
22-Apr-15,Wednesday,Present,9:15,19:41,10.43,10.43,8:48,No leave debit
23-Apr-15,Thursday,Present,8:39,19:12,10.55,10.55,8:48,No leave debit
24-Apr-15,Friday,Present,9:03,20:58,11.92,11.92,8:48,No leave debit
25-Apr-15,Saturday,Weekly Off,--,--,--,0,NA,NA
26-Apr-15,Sunday,Weekly Off,--,--,--,0,NA,NA
27-Apr-15,Monday,Earned Leave,--,--,--,0,8:48,NA
28-Apr-15,Tuesday,Earned Leave,--,--,--,0,8:48,NA
29-Apr-15,Wednesday,Present,9:04,20:35,11.52,11.52,8:48,No leave debit
30-Apr-15,Thursday,Present,9:46,19:30,9.73,9.73,8:48,No leave debit
1-May-15,Friday,Holiday,--,--,--,0,8:48,NA
2-May-15,Saturday,Weekly Off,--,--,--,0,NA,NA
3-May-15,Sunday,Weekly Off,--,--,--,0,NA,NA
4-May-15,Monday,Present,9:34,18:44,9.17,9.17,8:48,No leave debit
5-May-15,Tuesday,Present,9:06,19:03,9.95,9.95,8:48,No leave debit
6-May-15,Wednesday,Present,8:57,18:37,9.67,9.67,8:48,No leave debit
7-May-15,Thursday,Present,9:16,18:34,9.3,9.3,8:48,No leave debit
8-May-15,Friday,Present,8:48,18:18,9.5,9.5,8:48,No leave debit
9-May-15,Saturday,Weekly Off,--,--,--,0,NA,NA
10-May-15,Sunday,Weekly Off,--,--,--,0,NA,NA
11-May-15,Monday,Present,9:20,18:57,9.62,9.62,8:48,No leave debit
12-May-15,Tuesday,Present,9:11,19:57,10.77,10.77,8:48,No leave debit
13-May-15,Wednesday,Present,9:26,18:35,9.15,9.15,8:48,No leave debit
14-May-15,Thursday,Present,9:45,18:06,8.35,8.35,8:48,No leave debit
15-May-15,Friday,Present,9:16,19:14,9.97,9.97,8:48,No leave debit
16-May-15,Saturday,Weekly Off,--,--,--,0,NA,NA
17-May-15,Sunday,Weekly Off,--,--,--,0,NA,NA
18-May-15,Monday,Present,9:45,19:06,9.35,9.35,8:48,No leave debit
19-May-15,Tuesday,Present,9:09,18:51,9.7,9.7,8:48,No leave debit
20-May-15,Wednesday,Present,9:14,19:15,10.02,10.02,8:48,No leave debit
21-May-15,Thursday,Present,9:15,18:41,9.43,9.43,8:48,No leave debit
22-May-15,Friday,Present,8:42,18:28,9.77,9.77,8:48,No leave debit
23-May-15,Saturday,Weekly Off,8:28,13:51,5.38,5.38,NA,NA
24-May-15,Sunday,Weekly Off,--,--,--,0,NA,NA
25-May-15,Monday,Present,8:53,18:34,9.68,9.68,8:48,No leave debit
26-May-15,Tuesday,Present,9:04,17:25,8.35,8.35,8:48,No leave debit
27-May-15,Wednesday,Present,9:34,18:03,8.48,8.48,8:48,No leave debit
28-May-15,Thursday,Present,9:47,18:23,8.6,8.6,8:48,No leave debit
29-May-15,Friday,Present,9:23,17:56,8.55,8.55,8:48,No leave debit
30-May-15,Saturday,Weekly Off,--,--,--,0,NA,NA
31-May-15,Sunday,Weekly Off,--,--,--,0,NA,NA
1-Jun-15,Monday,Present,9:12,18:32,9.33,9.33,8:48,No leave debit
2-Jun-15,Tuesday,Holiday,--,--,--,0,8:48,NA
3-Jun-15,Wednesday,Present,9:33,18:19,8.77,8.77,8:48,No leave debit
4-Jun-15,Thursday,Present,9:52,18:11,8.32,8.32,8:48,No leave debit
5-Jun-15,Friday,Present,10:00,19:09,9.15,9.15,8:48,No leave debit
6-Jun-15,Saturday,Weekly Off,11:36,13:09,1.55,1.55,NA,NA
7-Jun-15,Sunday,Weekly Off,--,--,--,0,NA,NA
8-Jun-15,Monday,Earned Leave,--,--,--,0,8:48,NA
9-Jun-15,Tuesday,Present,9:12,18:47,9.58,9.58,8:48,No leave debit
10-Jun-15,Wednesday,Present,9:29,20:45,11.27,11.27,8:48,No leave debit
11-Jun-15,Thursday,Present,9:21,17:42,8.35,8.35,8:48,No leave debit
12-Jun-15,Friday,Present,9:34,19:45,10.18,10.18,8:48,No leave debit
13-Jun-15,Saturday,Weekly Off,--,--,--,0,NA,NA
14-Jun-15,Sunday,Weekly Off,--,--,--,0,NA,NA
15-Jun-15,Monday,Present,9:16,19:06,9.83,9.83,8:48,No leave debit
16-Jun-15,Tuesday,Present,9:45,18:47,9.03,9.03,8:48,No leave debit
17-Jun-15,Wednesday,Present,9:25,15:36,6.18,6.18,6:10,No leave debit
18-Jun-15,Thursday,Present,9:23,18:55,9.53,9.53,8:48,No leave debit
19-Jun-15,Friday,Present,9:22,19:01,9.65,9.65,8:48,No leave debit
20-Jun-15,Saturday,Weekly Off,--,--,--,0,NA,NA
21-Jun-15,Sunday,Weekly Off,--,--,--,0,NA,NA
22-Jun-15,Monday,Earned Leave,--,--,--,0,8:48,NA
23-Jun-15,Tuesday,Present,9:37,18:07,8.5,8.5,8:48,No leave debit
24-Jun-15,Wednesday,Present,9:37,18:18,8.68,8.68,8:48,No leave debit
25-Jun-15,Thursday,Present,9:40,18:44,9.07,9.07,8:48,No leave debit
26-Jun-15,Friday,Present,9:20,19:15,9.92,9.92,8:48,No leave debit
27-Jun-15,Saturday,Weekly Off,--,--,--,0,NA,NA
28-Jun-15,Sunday,Weekly Off,--,--,--,0,NA,NA
29-Jun-15,Monday,Present,10:40,18:28,7.8,7.8,7:47,No leave debit
30-Jun-15,Tuesday,Present,9:16,18:40,9.4,9.4,8:48,No leave debit
1-Jul-15,Wednesday,Present,9:25,18:46,9.35,9.35,8:48,No leave debit
2-Jul-15,Thursday,Present,9:40,17:51,8.18,8.18,8:48,No leave debit
3-Jul-15,Friday,Present,9:25,18:22,8.95,8.95,8:48,No leave debit
4-Jul-15,Saturday,Weekly Off,--,--,--,0,NA,NA
5-Jul-15,Sunday,Weekly Off,--,--,--,0,NA,NA
6-Jul-15,Monday,Present,9:07,19:13,10.1,10.1,8:48,No leave debit
7-Jul-15,Tuesday,Present,10:08,19:22,9.23,9.23,8:48,No leave debit
8-Jul-15,Wednesday,Present,9:31,17:16,7.75,7.75,7:45,No leave debit
9-Jul-15,Thursday,Present,9:39,18:55,9.27,9.27,8:48,No leave debit
10-Jul-15,Friday,Present,8:58,19:18,10.33,10.33,8:48,No leave debit
11-Jul-15,Saturday,Weekly Off,--,--,--,0,NA,NA
12-Jul-15,Sunday,Weekly Off,10:25,14:19,3.9,3.9,NA,NA
13-Jul-15,Monday,Present,9:25,19:01,9.6,9.6,8:48,No leave debit
14-Jul-15,Tuesday,Present,9:26,19:27,10.02,10.02,8:48,No leave debit
15-Jul-15,Wednesday,Present,9:28,19:38,10.17,10.17,8:48,No leave debit
16-Jul-15,Thursday,Present,9:01,17:54,8.88,8.88,8:48,No leave debit
17-Jul-15,Friday,Present,8:25,16:35,8.17,8.17,8:09,No leave debit
18-Jul-15,Saturday,Weekly Off,--,--,--,0,NA,NA
19-Jul-15,Sunday,Weekly Off,--,--,--,0,NA,NA
20-Jul-15,Monday,Earned Leave,--,--,--,0,8:48,NA
21-Jul-15,Tuesday,Earned Leave,--,--,--,0,8:48,NA
22-Jul-15,Wednesday,Earned Leave,--,--,--,0,8:48,NA
23-Jul-15,Thursday,Earned Leave,--,--,--,0,8:48,NA
24-Jul-15,Friday,Earned Leave,--,--,--,0,8:48,NA
25-Jul-15,Saturday,Weekly Off,--,--,--,0,NA,NA
26-Jul-15,Sunday,Weekly Off,--,--,--,0,NA,NA
27-Jul-15,Monday,Present,15:10,19:05,3.92,3.92,3:54,No leave debit
28-Jul-15,Tuesday,Present,9:21,18:16,8.92,8.92,8:48,No leave debit
29-Jul-15,Wednesday,Present,9:25,20:17,10.87,10.87,8:48,No leave debit
30-Jul-15,Thursday,Present,9:30,18:27,8.95,8.95,8:48,No leave debit
31-Jul-15,Friday,Present,9:33,17:51,8.3,8.3,8:48,No leave debit
